artist,song_title,year,artist_genre,youtube_link,imvdb_url
Prairie Oyster,Such a Lonely One,1994,Desconhecido,https://www.youtube.com/watch?v=HAPjMoaUCw0,https://imvdb.com/video/prairie-oyster/such-a-lonely-one
Amy Grant,Say You'll Be Mine,1994,Desconhecido,,https://imvdb.com/video/amy-grant/say-youll-be-mine
Boyzone,Love Me For A Reason,1994,Desconhecido,https://www.youtube.com/watch?v=w2BmYZkODlg,https://imvdb.com/video/boyzone/love-me-for-a-reason
Veruca Salt,Number One Blind,1994,Desconhecido,https://www.youtube.com/watch?v=PHG5P9xFyhI,https://imvdb.com/video/veruca-salt/number-one-blind
Billy Joel,No Man's Land,1994,Desconhecido,https://www.youtube.com/watch?v=T0lcOn4dHGE,https://imvdb.com/video/billy-joel/no-mans-land
Sinéad O'Connor,Fire on Babylon,1994,Desconhecido,,https://imvdb.com/video/sinead-oconnor/fire-on-babylon
Barry White,Come On,1994,Desconhecido,https://www.youtube.com/watch?v=WSEbzxCVKjc,https://imvdb.com/video/barry-white/come-on
David Ball,Thinkin' Problem,1994,Desconhecido,https://www.youtube.com/watch?v=YUqXWWb_ifA,https://imvdb.com/video/david-ball/thinkin-problem
Above The Law,Untouchable,1994,Desconhecido,https://www.youtube.com/watch?v=KWpsoc-D7z4,https://imvdb.com/video/above-the-law/untouchable
Beck,Pay No Mind (Snoozer),1994,Desconhecido,https://www.youtube.com/watch?v=yHjjqYQpBQg,https://imvdb.com/video/beck/pay-no-mind-snoozer
Luscious Jackson,Deep Shag,1994,Desconhecido,https://www.youtube.com/watch?v=ebXQSPLJ2d4,https://imvdb.com/video/luscious-jackson/deep-shag
Blur,To The End,1994,Desconhecido,https://www.youtube.com/watch?v=P7AzhJ-2vMM,https://imvdb.com/video/blur/to-the-end/2
Gunshot,Mind Of A Razor,1994,Desconhecido,https://www.youtube.com/watch?v=a7U4NW3hKtg,https://imvdb.com/video/gunshot/mind-of-a-razor
The Black Crowes,A Conspiracy,1994,Desconhecido,https://www.youtube.com/watch?v=m3UQUzzUuTA,https://imvdb.com/video/the-black-crowes/a-conspiracy
Peter Himmelman,With You,1994,Desconhecido,https://www.youtube.com/watch?v=Vbz1D08muFw,https://imvdb.com/video/peter-himmelman/with-you
Rodney Crowell,Big Heart,1994,Desconhecido,https://www.youtube.com/watch?v=nDLxIMWBS7E,https://imvdb.com/video/rodney-crowell/big-heart
Ladae,Deep Down,1994,Desconhecido,https://www.youtube.com/watch?v=LS-UGpCtMp0,https://imvdb.com/video/ladae/deep-down
Madonna,Take A Bow,1994,Desconhecido,https://www.youtube.com/watch?v=XDeiovnCv1o,https://imvdb.com/video/madonna/take-a-bow
Jeff Buckley,Last Goodbye,1994,Desconhecido,https://www.youtube.com/watch?v=3MMXjunSx80,https://imvdb.com/video/jeff-buckley/last-goodbye
Jeff Buckley,So Real,1994,Desconhecido,https://www.youtube.com/watch?v=EcaxrqhUJ4c,https://imvdb.com/video/jeff-buckley/so-real
Shaquille O'Neal,Biological Didn't Bother,1994,Desconhecido,https://www.youtube.com/watch?v=6kyDKBpq2g4,https://imvdb.com/video/shaquille-oneal/biological-didnt-bother
Stevie Nicks,Blue Denim,1994,Desconhecido,https://www.youtube.com/watch?v=Xb0IL7oXIXM,https://imvdb.com/video/stevie-nicks/blue-denim
Tori Amos,Past the Mission,1994,Desconhecido,https://www.youtube.com/watch?v=_qJLaLft2Vc,https://imvdb.com/video/tori-amos/past-the-mission
Beastie Boys,Sure Shot,1994,Desconhecido,https://www.youtube.com/watch?v=JhqyZeUlE8U,https://imvdb.com/video/beastie-boys/sure-shot
Salt 'N' Pepa,Whatta Man,1994,Desconhecido,https://www.youtube.com/watch?v=8-WFNbMohTQ,https://imvdb.com/video/salt-n-pepa/whatta-man
